GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55001,County,Adams,2021/10/14 19:00:00+00,2395,10,11.43,10536,33,23.71,25,0,0,43,35.14,146,1238,1011,1224,1170,-999,134,258,262,287,314,416,402,253,63,6,11,14,-999,-999,-999,-999,-999,-999,-999,5,9,8,-999,11,11,19,2129,61,164,103,1818,474,-999,-999,-999,23,-999,-999,-999,20,-999,64,622,1709,1959466
55003,County,Ashland,2021/10/14 19:00:00+00,1503,2,2.86,8974,19,11.14,15,0,0,21,14,63,374,1066,784,715,-999,86,189,221,224,164,255,208,97,48,11,5,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,222,-999,-999,1007,38,230,11,1183,309,-999,-999,-999,14,-999,-999,-999,15,-999,67,557,879,1965390
55005,County,Barron,2021/10/14 19:00:00+00,7797,32,32,23884,42,34.86,90,0,0.57,74,66.86,380,4542,2875,4048,3740,9,402,999,1031,1181,1105,1188,970,586,250,85,48,42,-999,-999,-999,-999,-999,-999,6,7,32,25,20,48,43,191,6029,286,1200,318,6474,999,-999,-999,-999,84,-999,-999,-999,87,-999,448,4337,3012,1965511
55007,County,Bayfield,2021/10/14 19:00:00+00,1355,3,3.71,8736,15,10.57,21,0,0,18,14.29,64,1250,41,682,673,-999,61,133,167,153,156,227,245,154,47,12,11,10,-999,-999,-999,-999,-999,-999,-999,5,6,7,-999,173,7,-999,998,40,135,16,1118,221,-999,-999,-999,19,-999,-999,-999,20,-999,76,738,541,1965513
55009,County,Brown,2021/10/14 19:00:00+00,38640,297,144,163640,335,297.57,264,0,0,632,441.57,1871,25351,11418,19599,19013,28,2355,4591,7318,6538,5494,5718,3679,1925,786,236,108,156,-999,-999,-999,-999,-999,6,21,47,64,69,50,1598,1220,1405,30179,2173,2065,4840,30022,3778,12,9,9,229,5,-999,25,238,-999,1631,13980,23029,1965570
55011,County,Buffalo,2021/10/14 19:00:00+00,1816,5,5.29,6468,11,11,8,1,0.14,16,16.29,88,1280,448,922,894,-999,130,227,253,236,241,317,211,124,67,10,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,11,1710,52,39,36,1701,79,-999,-999,-999,8,-999,-999,-999,8,-999,130,1259,427,1961275
55013,County,Burnett,2021/10/14 19:00:00+00,1915,11,13.43,7947,24,16.14,29,0,0,35,29.57,166,1180,569,999,913,-999,95,180,198,213,233,315,342,228,88,23,12,17,-999,-999,-999,-999,-999,-999,-999,-999,5,14,6,76,9,-999,1689,37,100,26,1747,142,-999,-999,-999,29,-999,-999,-999,29,-999,109,1150,656,1965065
55015,County,Calumet,2021/10/14 19:00:00+00,6890,18,20.29,26227,33,42.86,53,0,0,51,63.14,366,4091,2433,3494,3390,6,392,890,950,1031,1039,1245,794,334,162,53,24,29,-999,-999,-999,-999,-999,-999,-999,5,12,23,7,30,121,85,5782,243,629,383,5258,1249,-999,-999,-999,50,-999,-999,-999,51,-999,383,4819,1688,1960885
55017,County,Chippewa,2021/10/14 19:00:00+00,10169,34,42.43,35933,55,53.29,112,0,0,89,95.71,419,6156,3594,4849,5283,37,606,1259,1453,1716,1568,1450,1113,645,277,82,47,65,-999,-999,-999,-999,-999,-999,5,9,22,43,29,57,117,287,8162,167,1379,152,8603,1413,-999,-999,-999,107,-999,-999,-999,108,-999,626,5535,4008,1965165
55019,County,Clark,2021/10/14 19:00:00+00,4202,15,11.57,13535,29,19.86,70,0,0.29,44,31.43,342,3647,213,2262,1936,-999,221,508,587,568,593,657,557,295,165,51,29,41,-999,-999,-999,-999,-999,-999,-999,14,17,20,16,8,9,6,2605,65,1509,365,2921,916,-999,-999,-999,66,-999,-999,5,64,-999,114,842,3246,1965182
