GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55,State,WI,2020/08/25 19:00:00+00,71492,638,1128971,9349,1094,13,9987,5610,41823,24059,36649,34717,126,2448,7049,17852,11910,10146,9979,6407,3286,1725,690,505,589,0,0,0,8,12,33,76,175,284,305,201,702,1982,9509,45988,6547,6764,15554,46547,9391,13,30,219,793,23,16,127,946,21,5841,43085,22566,54,93,378,467,618,877,1124,1052,708,239,1582,4257,10678,7161,6162,6063,3590,1450,631,249,812,2699,6796,4282,3366,3039,1693,784,386,202,996,6,5,34,46,109,176,263,213,106,38,129145
55,State,WI,2020/08/13 19:00:00+00,63206,943,1035195,11472,1018,7,12415,5170,36837,21199,32605,30488,113,2168,6226,15852,10559,9003,8695,5647,2874,1544,638,473,545,0,0,0,8,10,32,71,167,267,272,191,621,1830,8858,39874,5975,6048,14448,40755,8003,11,30,212,729,20,16,119,875,24,5237,37729,20240,48,87,350,426,588,803,1038,960,644,226,1391,3740,9521,6362,5466,5254,3086,1245,546,226,729,2399,5981,3771,2949,2638,1523,669,354,186,942,4,4,30,45,105,164,250,200,103,37,133005
55,State,WI,2020/08/14 19:00:00+00,64227,1021,1044613,9418,1025,7,10439,5235,37474,21518,33129,30984,114,2188,6314,16095,10756,9143,8856,5727,2931,1572,645,477,548,0,0,0,8,10,32,71,167,269,276,192,631,1849,8941,40638,6034,6134,14573,41502,8152,11,30,212,736,19,17,121,884,20,5313,38375,20539,48,88,354,433,593,811,1050,979,650,229,1408,3808,9667,6478,5554,5359,3145,1267,564,224,732,2418,6074,3845,2996,2686,1532,685,358,192,951,4,4,32,45,106,166,252,202,103,37,133549
55,State,WI,2020/08/12 19:00:00+00,62263,478,1023723,9446,1011,5,9924,5125,36289,20849,32128,30025,110,2140,6133,15646,10405,8873,8529,5555,2821,1526,635,468,543,0,0,0,8,10,32,71,167,263,269,191,617,1817,8780,39200,5898,5951,14330,40131,7802,11,30,212,723,19,16,118,871,22,5157,37174,19932,48,85,346,423,583,796,1026,952,640,226,1376,3696,9407,6265,5391,5154,3030,1211,535,224,716,2352,5893,3717,2899,2579,1499,658,351,185,941,4,4,30,45,106,164,250,198,103,37,134401
55,State,WI,2020/08/11 19:00:00+00,61785,724,1014277,12875,1006,8,13599,5092,35862,20831,31873,29802,110,2127,6085,15519,10334,8819,8462,5502,2800,1509,628,466,540,0,0,0,8,10,32,71,166,261,268,190,609,1810,8759,38828,5857,5922,14264,39756,7765,11,30,212,717,19,17,118,863,25,5105,36727,19953,48,85,344,421,580,792,1018,944,635,225,1356,3646,9302,6197,5341,5084,2989,1197,529,221,723,2354,5873,3716,2898,2586,1495,659,345,182,939,4,4,30,45,106,164,250,197,102,37,135524
55,State,WI,2020/07/21 19:00:00+00,44135,1117,750562,13371,859,13,14488,4194,25052,14889,22749,21299,87,1515,3979,11311,7560,6377,5944,3812,1954,1167,516,399,460,0,0,0,9,9,29,64,145,218,214,171,426,1456,7019,26478,4516,4240,11419,27517,5199,10,23,196,603,13,14,100,746,13,3740,25335,15060,39,71,280,358,488,675,840,737,518,188,926,2321,6702,4446,3818,3519,1991,778,374,177,550,1587,4329,2756,2071,1750,981,439,275,151,838,4,4,27,41,95,146,228,170,91,32,138009
55,State,WI,2020/07/22 19:00:00+00,44847,712,764630,14068,865,6,14780,4225,25661,14961,23122,21638,87,1545,4064,11465,7683,6483,6056,3870,1983,1178,520,400,465,0,0,0,8,9,29,64,146,222,215,172,438,1468,7066,27004,4559,4312,11539,28011,5297,10,23,197,606,15,14,102,750,13,3806,25972,15069,40,72,280,361,492,681,845,745,522,187,949,2388,6847,4565,3914,3610,2034,794,378,182,556,1604,4338,2757,2077,1765,991,444,278,151,848,4,4,27,41,96,148,230,174,92,32,139076
55,State,WI,2020/08/23 19:00:00+00,70462,453,1115149,4361,1081,0,4814,5558,41118,23786,36138,34199,125,2404,6942,17611,11760,10020,9807,6295,3233,1703,687,502,579,0,0,0,8,12,33,76,172,282,299,199,693,1964,9451,45185,6482,6687,15402,45788,9272,13,30,219,782,21,16,125,936,20,5756,42338,22368,51,91,371,462,618,869,1114,1043,701,238,1550,4185,10529,7050,6073,5953,3504,1415,614,245,803,2666,6711,4248,3329,2985,1677,775,388,204,990,5,5,33,45,109,176,262,211,106,38,140465
55,State,WI,2020/08/24 19:00:00+00,70854,392,1119622,4473,1081,0,4865,5573,41344,23937,36350,34377,127,2416,6987,17705,11818,10070,9874,6342,3242,1712,688,502,579,0,0,0,8,12,33,76,172,282,299,199,695,1970,9472,45493,6516,6708,15457,46057,9340,13,30,219,782,21,16,125,936,20,5784,42586,22484,53,92,374,463,617,871,1117,1044,704,238,1556,4209,10582,7084,6101,5991,3536,1420,620,245,807,2686,6749,4271,3352,3012,1689,778,388,205,991,5,5,34,45,109,176,262,211,106,38,142599
55,State,WI,2020/08/20 19:00:00+00,68233,740,1093294,9131,1067,7,9871,5469,39840,22924,35084,33026,123,2333,6734,17010,11388,9705,9480,6115,3127,1664,677,495,572,0,0,0,8,12,33,75,169,279,293,198,679,1932,9228,43550,6312,6532,15108,44289,8836,13,30,217,770,20,17,123,922,22,5599,40973,21661,50,90,369,459,610,853,1093,1023,687,235,1508,4054,10212,6854,5904,5733,3390,1351,596,238,775,2590,6429,4075,3191,2894,1632,753,381,204,978,5,5,33,45,108,173,257,209,105,38,143306
