DATE,POS_NEW,POSITIVE,POS_SEPT,TOTAL_TESTS,QUARANTINE_CURRENT,ISOLATION_CURRENT,HOSP_CURRENT,RL_POS_Total,MA_POS_TOTAL
2020/09/01 14:00:00+00,,52,,,,,,,
2020/09/02 14:00:00+00,,52,,,,,,,
2020/09/03 14:00:00+00,,52,,,,,,,
2020/09/04 14:00:00+00,,52,,,,,,,
2020/09/05 14:00:00+00,,52,,,,,,,
2020/09/06 14:00:00+00,,52,,,,,,,
2020/09/07 14:00:00+00,,108,56,156,NA,NA,0,NA,NA
2020/09/08 14:00:00+00,11,119,67,317,NA,NA,0,NA,NA
2020/09/09 14:00:00+00,14,133,81,542,159,7,0,2,0
2020/09/10 14:00:00+00,21,154,102,702,147,13,0,2,0
2020/09/11 14:00:00+00,20,174,122,895,80,22,0,2,0
2020/09/12 14:00:00+00,10,184,132,932,80,22,0,2,0
2020/09/13 14:00:00+00,0,184,132,950,80,22,0,2,0
2020/09/14 14:00:00+00,14,198,146,1163,77,29,0,2,0
2020/09/15 14:00:00+00,15,213,161,1507,77,29,0,2,0
2020/09/16 14:00:00+00,29,242,190,1828,77,27,0,2,0
2020/09/17 14:00:00+00,13,253,203,2136,89,38,0,2,0
